Date,STI,Hang_Seng,KOSPI,Nikkei_225,Shanghai_Composite,SP500
2003-01-06,1331.62,9665.96,666.71,8713.33,1334.68,929.01
2003-01-07,1318.74,9652.4,652.2,8656.5,1332.06,922.93
2003-01-08,1332.32,9688.21,651.72,8517.8,1372.07,909.93
2003-01-09,1335.09,9675.41,630.4,8497.93,1397.38,927.57
2003-01-10,1347.17,9721.5,628.36,8470.45,1384.86,927.57
2003-01-14,1401.37,9796.31,650.05,8553.06,1466.85,931.66
2003-01-15,1386.62,9873.49,648.29,8611.75,1459.92,918.22
2003-01-16,1379.52,9743.23,648.69,8609.17,1485.62,914.6
2003-01-17,1366.83,9614.59,636.46,8690.25,1478.68,901.78
2003-01-21,1365.32,9568.47,632.86,8708.58,1454.89,887.62
2003-01-22,1369.13,9560.29,622.49,8611.04,1460.53,878.36
2003-01-23,1364.41,9584.7,625.18,8790.92,1450.62,887.34
2003-01-24,1358.04,9460.6,609.43,8731.65,1479.07,861.4
2003-01-27,1331.25,9298.67,593.09,8609.47,1496.16,847.48
2003-01-28,1339.69,9325.6,600.56,8525.39,1500.64,858.54
2003-01-29,1302.85,9240.79,583.35,8331.08,1499.81,864.36
2003-02-10,1282.73,9232.14,577.25,8484.93,1480.17,835.97
2003-02-13,1268.33,9173.43,575.67,8599.66,1504.34,817.37
2003-02-14,1273.48,9201.76,575.24,8701.92,1510.95,834.89
2003-02-18,1293.81,9397.05,603.45,8692.97,1496.47,851.17
2003-02-19,1315.53,9427.63,600.83,8678.44,1510.8,845.13
2003-02-20,1312.41,9390.48,605.51,8650.92,1509.49,837.1
2003-02-21,1315.03,9250.86,603.6,8513.54,1478.87,848.17
2003-02-24,1306.79,9239.47,616.29,8564.95,1481.94,832.58
2003-02-25,1290.44,9148.48,592.25,8360.49,1511.28,838.57
2003-02-26,1287.14,9116.28,590.26,8356.81,1513.18,827.55
2003-02-27,1271.25,9134.24,582.46,8359.38,1513.7,837.28
2003-02-28,1273.85,9122.66,575.43,8363.04,1511.93,841.15
2003-03-03,1279.2,9268.77,590.04,8490.4,1525.48,834.81
2003-03-04,1268.96,9181.89,576.58,8480.22,1524.3,821.99
2003-03-05,1265.5,9109.18,560.26,8472.62,1517.18,829.85
2003-03-06,1243.82,8962.26,555.33,8369.15,1498.34,822.1
2003-03-07,1226.15,8907.1,546.02,8144.12,1493.09,828.89
2003-03-10,1213.82,8861.87,544.24,8042.26,1468.92,807.48
2003-03-12,1233.68,8874.99,531.81,7943.04,1475.01,804.19
2003-03-13,1231.77,8787.45,531.78,7868.56,1464.65,831.9
2003-03-14,1250.88,8956.17,537.65,8002.69,1466.04,833.27
