month,corr_SH_Hang_Seng,corr_SH_Nikkei,corr_SH_KOSPI,corr_SH_STI,corr_SH_SP500,DCEF,RIPO,NIPO,NA,TURN,CCI,ISI,StdISI
2003-01,0.473807621672009,0.253951656733675,0.303313217130826,0.369486804194494,0.120368857606626,-0.1034,0.905,5,3.97,0.1054,97.5,26.44,-1.26
2003-02,0.415004780038264,0.21447459678747,0.245187476410075,0.342101491975347,0.0878925422754187,-0.1117,0.7691,3,2.85,0.1928,97.7,25.3,-1.05
2003-03,0.402509507686691,0.227826135251638,0.210353119860407,0.30902891401427,0.0875763509981008,-0.0941,0.6831,6,3.26,0.1328,97.8,26.2,-1.27
2003-04,0.269005972281117,0.171265291615847,0.163600628325661,0.18497502431627,0.0703693499401265,-0.1399,1.1853,5,5.69,0.1218,97.6,27.69,-1.07
2003-05,0.247918478752454,0.119658024375262,0.191135097223095,0.192633463779054,0.113358207257205,-0.1892,1.0623,2,4.21,0.3197,88.7,24.05,-0.7
2003-06,0.265743355902978,0.127407195599523,0.192126525635958,0.175861222998685,0.134197908682855,-0.1962,0.8507,7,5.35,0.2558,85.7,25.1,-1.11
2003-07,0.279681188435613,0.148417510032732,0.199423789836079,0.180689141901278,0.145662058350121,-0.1436,0.4559,9,3.87,0.1444,88.6,25.04,-1.64
2003-08,0.271315688135709,0.129120901307157,0.1778682959046,0.152688707272107,0.106332654843649,-0.1794,0.5829,9,3.06,0.1263,91.2,25.16,-1.69
2003-09,0.277701816050373,0.194734741896524,0.20926750242686,0.146816587993121,0.144587218610999,-0.1901,0.8065,7,3.02,0.0914,92.7,25.1,-1.71
2003-10,0.322788783324587,0.22161519854911,0.25173804212349,0.169715396741048,0.0872041382636942,-0.2015,0.7209,5,2.51,0.0983,93.1,24.38,-1.8
2003-11,0.348616856850026,0.226764877830892,0.228003490002942,0.223343079568921,0.0486935561676626,-0.2215,0.5567,4,3.95,0.1193,94.2,25.25,-1.85
2003-12,0.359724573840709,0.254096783484361,0.203005555426779,0.225636262017484,0.104028966172253,-0.2168,0.4989,5,5.69,0.1848,94.5,26.67,-1.55
2004-01,0.416360330086453,0.244775362884903,0.199657154116698,0.309000001727139,0.126163224256885,-0.2092,0.5847,4,3.9,0.2355,95.3,25.55,-1.28
2004-02,0.37362338388707,0.175736926239505,0.171852730664577,0.296622330905668,0.111389466303811,-0.2476,1.722,3,12.0,0.3299,95.4,31.09,-0.09
2004-03,0.36290033061991,0.168843635707163,0.170504966417639,0.283477505327424,0.058542555155839,-0.2604,1.0574,10,9.27,0.3984,95.2,30.61,-0.23
2004-04,0.33396135664733,0.166191479121882,0.162445481761597,0.274699805047219,0.0607249754877434,-0.2402,0.877,12,7.31,0.2628,95.4,29.71,-0.88
2004-05,0.37605768879409,0.274840691832605,0.267550911015289,0.346037792702506,0.134899550062019,-0.2444,0.4443,10,3.6,0.2582,95.0,26.58,-1.3
2004-06,0.390968918932329,0.285933247891526,0.310807801232594,0.350453625487705,0.127362831019685,-0.2256,0.8468,22,4.46,0.1303,92.6,29.44,-1.38
2004-07,0.351100499521028,0.21832692681305,0.249692258088215,0.320231140322602,0.0718137903089657,-0.2582,0.6252,21,3.2,0.1457,90.1,27.72,-1.64
2004-08,0.310031904384621,0.172843019457279,0.214427376240808,0.254323683987025,0.0756484167820974,-0.2846,0.3435,13,3.15,0.1495,91.1,25.97,-1.98
2004-09,0.270170622715002,0.109797335691987,0.14115947445933,0.214909108481033,0.0859944769023249,-0.2755,0.174,5,7.47,0.1117,90.8,26.75,-2.29
2004-10,0.269467434311927,0.147085725671303,0.187954894520686,0.234733471410011,0.111401999406076,-0.305,0.0,0,3.33,0.2338,91.3,23.06,-2.09
2004-11,0.287231236300787,0.177703038284882,0.203530449783542,0.237402190944508,0.110148793494485,-0.3268,0.0,0,3.87,0.2347,91.8,23.51,-2.13
2004-12,0.268075534342287,0.161398134839169,0.191909382340026,0.180921610734473,0.104475642403993,-0.2921,0.0,0,5.56,0.1826,92.7,24.78,-2.21
2005-01,0.232743612255375,0.129359472225752,0.217369695702337,0.127246550043658,0.140181722217422,-0.2796,0.0,0,2.3,0.1221,93.2,22.78,-2.48
2005-02,0.188940432982527,0.129736998813702,0.188819214159648,0.119683796107994,0.0821966702528255,-0.3003,0.7897,1,2.35,0.1252,93.5,23.47,-1.96
2005-03,0.25432212854322,0.138885222940313,0.195468623817917,0.122856432360474,0.065489565034625,-0.3133,0.6445,2,4.86,0.2144,93.9,25.37,-1.65
2005-04,0.317852050927578,0.224028619892782,0.266440996292402,0.187119015449538,0.0406043128881212,-0.2806,0.7533,3,3.54,0.1811,94.4,24.91,-1.62
2005-05,0.309324904331289,0.216135400891117,0.2247407525674,0.168501846451565,-0.0409722272738555,-0.305,0.2819,6,2.69,0.2096,94.7,24.9,-1.86
2005-06,0.307386362947726,0.172826231728996,0.19171946144259,0.104520527445568,-0.0461662038802085,-0.3043,0.2462,3,4.54,0.1344,94.3,25.26,-2.22
2005-07,0.310443980680585,0.138821523487608,0.127226429482456,0.0573589471142533,-0.0359657415135613,-0.3321,0.0,0,2.52,0.229,94.6,23.28,-2.13
2005-08,0.368067184737487,0.162576137123873,0.144340036397749,0.0609823398614865,0.0165559044003062,-0.3031,0.0,0,4.7,0.1708,94.4,24.61,-2.27
2005-09,0.412623927138813,0.179331049235233,0.209387838948477,0.121761287033547,0.0253199904024572,-0.3024,0.0,0,5.83,0.3222,94.5,25.44,-1.61
2005-10,0.334028880062681,0.187096202460388,0.222659721596638,0.175417100265732,0.0193748869448677,-0.3123,0.0,0,2.33,0.2839,94.3,23.12,-1.85
2005-11,0.35236610132306,0.20120244686953,0.281807861770363,0.234635575336998,0.0181867270805821,-0.3233,0.0,0,2.98,0.2041,93.7,23.36,-2.23
2005-12,0.364311040475575,0.197558977353373,0.309000547012027,0.260193030024578,0.0381861835575572,-0.2902,0.0,0,2.71,0.1651,93.6,23.15,-2.31
2006-01,0.350213094142517,0.219717409871375,0.296530404314033,0.297340302209593,0.0286852850248201,-0.2848,0.0,0,3.86,0.164,94.3,24.05,-2.27
2006-02,0.345704824550225,0.255289077845827,0.221766105470063,0.318275963198862,0.0382563615138174,-0.3029,0.0,0,4.94,0.331,92.6,24.43,-1.62
2006-03,0.394482982200683,0.26034069983493,0.224624839337369,0.31485375775491,0.0403127323147868,-0.3118,0.0,0,7.29,0.2974,90.8,25.5,-1.79
2006-04,0.407269694043281,0.263267687836167,0.242560953656755,0.321621274894498,0.0983543067600011,-0.2857,0.0,0,10.71,0.2406,90.4,27.58,-1.92
2006-05,0.312807103325893,0.196306878491783,0.162336591324668,0.214126965572133,0.125179507271878,-0.3098,0.0,0,22.93,0.4601,89.9,35.39,-0.87
2006-06,0.270178780930612,0.200284660197028,0.160519706977131,0.160534462592217,0.0979705437101951,-0.3249,1.4838,4,18.67,0.6779,90.1,34.41,1.03
2006-07,0.312630326125676,0.209166010724806,0.187019740844596,0.204849870419805,0.135116996303835,-0.3053,0.734,4,13.7,0.4232,90.0,30.74,-0.59
2006-08,0.338497389954982,0.206601571050101,0.207886727075562,0.184414943061241,0.150252477911925,-0.3084,0.667,13,7.17,0.3813,90.1,28.57,-0.8
2006-09,0.347738113672914,0.211546704050949,0.21590260061427,0.186160027131161,0.157561983774639,-0.2939,0.8375,4,9.09,0.2211,90.5,27.85,-1.41
2006-10,0.393473785483401,0.244809528770521,0.165064562755284,0.27656759501641,0.154304038746454,-0.3025,0.7379,11,11.62,0.2745,91.4,31.24,-1.12
2006-11,0.406123161710115,0.170657493689805,0.188752357538274,0.269477129669669,0.133079275987016,-0.2796,0.6542,14,14.78,0.3095,91.6,33.98,-0.87
2006-12,0.391215023044299,0.176546105972901,0.216702891903018,0.29119536502724,0.149170659857633,-0.2423,1.062,16,54.46,0.3224,92.0,60.13,0.21
2007-01,0.388820241845008,0.225417611028403,0.078940015738081,0.294313035859192,0.178877371357378,-0.1707,1.0468,11,108.59,0.4186,92.8,93.89,1.58
2007-02,0.382172899453993,0.252031385333698,0.0780725939892542,0.271585146439522,0.165862945280103,-0.2169,1.1369,8,42.47,0.6069,92.1,50.85,1.24
2007-03,0.383875522520421,0.254738039514255,0.149409973057904,0.286270658805226,0.306669169592474,-0.1996,1.1599,8,134.96,0.49,95.8,110.85,2.31
2007-04,0.424594105094295,0.263596713202573,0.227286873835627,0.340123026115725,0.286628257149432,-0.2031,1.6223,15,225.1,0.5484,95.2,170.24,4.34
2007-05,0.4575807364838,0.308926035095866,0.340873776970021,0.394955289067564,0.271433585080283,-0.2009,1.4721,4,263.9,0.7136,96.2,192.81,5.4
2007-06,0.389431042382269,0.282531979141678,0.261164880499464,0.328309348196158,0.134600120492713,-0.2209,2.3251,4,173.95,0.8247,96.7,135.81,5.03
2007-07,0.370451629539331,0.20421041816224,0.221653788723789,0.301007358008285,0.146621777387108,-0.1972,1.4963,6,94.01,0.6207,97.4,84.78,2.48
