month,DCEF,RIPO,NIPO,NA,TURN,CCI,sen
2003-01,-0.1034,0.905,5,3.97,0.1054,97.5,-0.4906309291832472
2003-02,-0.1117,0.7691,3,2.85,0.1928,97.7,-0.6215589156237263
2003-03,-0.0941,0.6831,6,3.26,0.1328,97.8,-0.4639254148184668
2003-04,-0.1399,1.1853,5,5.69,0.1218,97.6,-0.5721399563717732
2003-05,-0.1892,1.0623,2,4.21,0.3197,88.7,-1.178083008275459
2003-06,-0.1962,0.8507,7,5.35,0.2558,85.7,-1.148119992729809
2003-07,-0.1436,0.4559,9,3.87,0.1444,88.6,-0.8450504690856666
2003-08,-0.1794,0.5829,9,3.06,0.1263,91.2,-0.8618375005440755
2003-09,-0.1901,0.8065,7,3.02,0.0914,92.7,-0.866055823177131
2003-10,-0.2015,0.7209,5,2.51,0.0983,93.1,-0.9611668699940668
2003-11,-0.2215,0.5567,4,3.95,0.1193,94.2,-1.0446917954803647
2003-12,-0.2168,0.4989,5,5.69,0.1848,94.5,-1.0207790241627102
2004-01,-0.2092,0.5847,4,3.9,0.2355,95.3,-1.015039584205967
2004-02,-0.2476,1.722,3,12.0,0.3299,95.4,-1.0383729300037976
2004-03,-0.2604,1.0574,10,9.27,0.3984,95.2,-1.0064053766178418
2004-04,-0.2402,0.877,12,7.31,0.2628,95.4,-0.8536977426742244
2004-05,-0.2444,0.4443,10,3.6,0.2582,95.0,-0.9966711854390072
2004-06,-0.2256,0.8468,22,4.46,0.1303,92.6,-0.570890585971856
2004-07,-0.2582,0.6252,21,3.2,0.1457,90.1,-0.8150822545301302
2004-08,-0.2846,0.3435,13,3.15,0.1495,91.1,-1.1292810525947483
2004-09,-0.2755,0.174,5,7.47,0.1117,90.8,-1.32568306545842
2004-10,-0.305,0.0,0,3.33,0.2338,91.3,-1.6264517421767453
2004-11,-0.3268,0.0,0,3.87,0.2347,91.8,-1.680316248930272
2004-12,-0.2921,0.0,0,5.56,0.1826,92.7,-1.5164959233763915
2005-01,-0.2796,0.0,0,2.3,0.1221,93.2,-1.4467330775786629
2005-02,-0.3003,0.7897,1,2.35,0.1252,93.5,-1.3807806937750935
2005-03,-0.3133,0.6445,2,4.86,0.2144,93.9,-1.42860353733727
2005-04,-0.2806,0.7533,3,3.54,0.1811,94.4,-1.2579954699756697
2005-05,-0.305,0.2819,6,2.69,0.2096,94.7,-1.3150740377623782
2005-06,-0.3043,0.2462,3,4.54,0.1344,94.3,-1.3777927815326945
2005-07,-0.3321,0.0,0,2.52,0.229,94.6,-1.6151704607595894
2005-08,-0.3031,0.0,0,4.7,0.1708,94.4,-1.4987452822018552
2005-09,-0.3024,0.0,0,5.83,0.3222,94.5,-1.5502627851338608
2005-10,-0.3123,0.0,0,2.33,0.2839,94.3,-1.5828537109331906
2005-11,-0.3233,0.0,0,2.98,0.2041,93.7,-1.602656112911371
2005-12,-0.2902,0.0,0,2.71,0.1651,93.6,-1.4846727693549118
2006-01,-0.2848,0.0,0,3.86,0.164,94.3,-1.4426733300883057
2006-02,-0.3029,0.0,0,4.94,0.331,92.6,-1.6147327736211454
2006-03,-0.3118,0.0,0,7.29,0.2974,90.8,-1.6771403224833352
2006-04,-0.2857,0.0,0,10.71,0.2406,90.4,-1.5730262242432658
2006-05,-0.3098,0.0,0,22.93,0.4601,89.9,-1.7174592807610096
2006-06,-0.3249,1.4838,4,18.67,0.6779,90.1,-1.5652347689701194
2006-07,-0.3053,0.734,4,13.7,0.4232,90.0,-1.5103154196053814
2006-08,-0.3084,0.667,13,7.17,0.3813,90.1,-1.2763992148891825
2006-09,-0.2939,0.8375,4,9.09,0.2211,90.5,-1.3791733672692534
2006-10,-0.3025,0.7379,11,11.62,0.2745,91.4,-1.2106774471801638
2006-11,-0.2796,0.6542,14,14.78,0.3095,91.6,-1.0625393367893614
2006-12,-0.2423,1.062,16,54.46,0.3224,92.0,-0.7169393385581132
2007-01,-0.1707,1.0468,11,108.59,0.4186,92.8,-0.4880593768405574
2007-02,-0.2169,1.1369,8,42.47,0.6069,92.1,-0.9933668249945884
2007-03,-0.1996,1.1599,8,134.96,0.49,95.8,-0.5140088479442112
2007-04,-0.2031,1.6223,15,225.1,0.5484,95.2,-0.0571545767280343
2007-05,-0.2009,1.4721,4,263.9,0.7136,96.2,-0.3001800570018438
2007-06,-0.2209,2.3251,4,173.95,0.8247,96.7,-0.5458235860607195
2007-07,-0.1972,1.4963,6,94.01,0.6207,97.4,-0.6417398530231636
2007-08,-0.1793,3.3464,21,297.47,0.3396,96.7,0.7318215450768091
2007-09,-0.206,2.1936,13,242.16,0.4569,97.3,0.0954038892027777
2007-10,-0.2692,2.6432,3,196.73,0.3633,96.9,-0.4361037501652309
2007-11,-0.2343,1.8218,13,131.97,0.261,96.5,-0.3018031360991972
2007-12,-0.195,1.7235,20,81.4,0.1515,96.0,-0.1082295720664922
2008-01,-0.1742,2.2012,8,84.37,0.1907,96.9,-0.2979307374149116
2008-02,-0.1854,1.7895,10,43.64,0.2966,95.6,-0.5255720314645982
2008-03,-0.1481,1.8893,4,62.07,0.2079,94.3,-0.5121323986477022
2008-04,-0.1268,1.1194,5,51.1,0.2281,94.5,-0.5433736186790413
2008-05,-0.1642,0.8603,19,35.19,0.2291,94.0,-0.3653211589250007
2008-06,-0.2173,0.4541,12,32.32,0.2636,94.3,-0.7937471059055848
2008-07,-0.2057,1.0022,7,30.97,0.174,94.1,-0.8032723237639741
2008-08,-0.2431,0.711,6,23.5,0.2335,94.5,-1.0198396809313794
2008-09,-0.2264,1.2577,5,28.72,0.1368,93.7,-0.8979344344666651
2008-10,-0.2448,0.0,0,23.17,0.1646,93.4,-1.2862661222633558
2008-11,-0.2739,0.0,0,33.47,0.1672,92.4,-1.381260959911559
2008-12,-0.2848,0.4226,1,30.36,0.3018,105.2,-1.0159456243510072
2009-01,-0.2569,0.0,0,10.81,0.3309,101.8,-1.1750047134802193
2009-02,-0.2308,0.0,0,50.93,0.2976,101.3,-0.9784411706119448
2009-03,-0.2706,0.0,0,48.01,0.5514,101.0,-1.224111388730455
2009-04,-0.2589,0.0,0,45.16,0.4103,100.3,-1.1597124051332606
2009-05,-0.2565,0.0,0,36.07,0.4645,100.5,-1.1934406946063032
2009-06,-0.2105,0.0,0,54.63,0.4068,101.2,-0.948945564997721
2009-07,-0.2205,1.1198,5,78.81,0.3708,101.0,-0.6272236292103828
2009-08,-0.226,0.6284,11,72.4,0.455,102.1,-0.5563557304922594
2009-09,-0.2552,0.4778,12,48.76,0.356,102.7,-0.650956721968832
2009-10,-0.2304,0.9928,32,28.81,0.3233,102.8,0.0087459150082425
2009-11,-0.2099,0.5586,11,50.71,0.2817,103.2,-0.4735393317739464
2009-12,-0.2141,0.616,28,52.49,0.3673,103.3,-0.0315123079422813
2010-01,-0.193,0.3669,37,38.58,0.255,103.9,0.2796181262926652
2010-02,-0.1573,0.1595,24,26.19,0.2704,104.7,-0.0113758530931755
2010-03,-0.1522,0.7038,33,60.4,0.1849,104.2,0.4392852116236171
2010-04,-0.143,0.698,30,42.7,0.2114,107.9,0.4340785013945907
2010-05,-0.1505,0.1173,26,38.17,0.2763,106.6,0.1497948975751652
