"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2026","5,025.80","5,025.92","5,045.28","4,995.83","257.81M","0.76%"
"11/06/2026","4,988.10","4,935.12","4,997.56","4,929.94","299.05M","0.59%"
"10/06/2026","4,958.85","5,010.90","5,015.17","4,939.53","360.06M","-1.28%"
"09/06/2026","5,023.25","4,965.49","5,026.76","4,964.66","351.02M","1.20%"
"08/06/2026","4,963.67","4,983.92","4,996.40","4,952.66","331.49M","-1.71%"
"05/06/2026","5,049.96","5,075.31","5,084.00","5,041.58","335.73M","-0.35%"
"04/06/2026","5,067.53","5,108.02","5,112.09","5,064.20","307M","-1.38%"
"03/06/2026","5,138.24","5,118.87","5,150.69","5,112.86","382.68M","0.80%"
"02/06/2026","5,097.42","5,048.82","5,097.42","5,027.30","420.51M","1.18%"
"29/05/2026","5,037.86","5,027.19","5,041.11","5,009.77","634.82M","0.98%"
"28/05/2026","4,989.19","5,019.74","5,035.58","4,978.80","482.54M","-0.79%"
"26/05/2026","5,028.80","5,070.05","5,072.08","5,028.80","290.45M","-0.82%"
"25/05/2026","5,070.55","5,092.68","5,102.07","5,064.54","229.84M","0.05%"
"22/05/2026","5,068.15","5,060.73","5,072.00","5,039.79","321.5M","0.44%"
"21/05/2026","5,045.71","5,066.91","5,073.11","5,028.90","462.75M","0.02%"
"20/05/2026","5,044.91","5,064.29","5,069.45","5,024.99","346.98M","-0.54%"
"19/05/2026","5,072.34","5,008.64","5,072.34","5,001.85","366.29M","1.51%"
"18/05/2026","4,996.75","4,974.90","4,999.93","4,956.53","355.6M","0.15%"
"15/05/2026","4,989.08","4,997.61","5,003.18","4,975.14","348.98M","-0.14%"
"14/05/2026","4,995.94","5,013.59","5,015.09","4,980.53","399.67M","-0.16%"
"13/05/2026","5,003.96","4,964.71","5,008.37","4,963.16","638.74M","1.17%"
"12/05/2026","4,946.00","4,950.24","4,953.04","4,915.15","262.55M","0.07%"
"11/05/2026","4,942.77","4,929.38","4,956.77","4,908.76","337.47M","0.42%"
"08/05/2026","4,921.90","4,930.22","4,939.10","4,895.09","338.8M","-0.41%"
"07/05/2026","4,941.96","4,957.90","4,958.05","4,932.89","373.58M","0.30%"
"06/05/2026","4,927.38","4,924.37","4,935.68","4,915.13","361.85M","0.14%"
"05/05/2026","4,920.61","4,915.59","4,920.61","4,891.83","270.41M","-0.08%"
"04/05/2026","4,924.31","4,941.24","4,960.14","4,924.31","298.02M","0.24%"
"30/04/2026","4,912.69","4,889.26","4,917.19","4,880.67","388.66M","1.06%"
"29/04/2026","4,860.97","4,875.81","4,887.99","4,853.78","399.24M","-0.55%"
"28/04/2026","4,887.69","4,899.75","4,930.02","4,882.01","322.38M","-0.10%"
"27/04/2026","4,892.73","4,919.19","4,925.71","4,885.96","278.52M","-0.61%"
"24/04/2026","4,922.86","4,930.16","4,941.27","4,903.72","296.58M","-0.43%"
"23/04/2026","4,944.11","4,988.45","4,991.85","4,942.06","294.51M","-1.17%"
"22/04/2026","5,002.72","5,009.29","5,014.10","4,988.45","301.9M","-0.24%"
"21/04/2026","5,014.96","5,010.13","5,021.07","4,995.97","438.14M","0.22%"
"20/04/2026","5,004.07","5,001.48","5,012.59","4,978.66","270.85M","0.12%"
"17/04/2026","4,997.93","5,012.85","5,016.20","4,987.85","298.66M","-0.20%"
"16/04/2026","5,007.83","5,039.11","5,039.11","5,004.41","414.47M","-0.27%"
"15/04/2026","5,021.20","5,031.00","5,038.13","5,010.14","334.19M","0.27%"
"14/04/2026","5,007.57","5,011.21","5,020.59","4,992.64","326.78M","0.47%"
"13/04/2026","4,984.17","4,977.44","4,984.17","4,965.48","198.02M","-0.11%"
"10/04/2026","4,989.41","4,997.70","4,999.30","4,973.10","238.86M","0.25%"
"09/04/2026","4,977.08","5,008.99","5,009.89","4,974.34","273.45M","-0.38%"
"08/04/2026","4,996.05","5,009.49","5,022.33","4,982.84","384.01M","0.77%"
"07/04/2026","4,958.01","4,975.82","4,990.59","4,947.33","208.73M","-0.29%"
"06/04/2026","4,972.40","4,950.23","4,973.30","4,943.43","161.47M","0.50%"
"02/04/2026","4,947.50","5,010.57","5,010.57","4,926.57","267.45M","-0.57%"
"01/04/2026","4,975.83","4,950.06","4,985.30","4,948.39","330.54M","1.85%"
"31/03/2026","4,885.45","4,896.73","4,930.24","4,885.45","280.06M","-0.24%"
"30/03/2026","4,897.26","4,855.32","4,911.24","4,855.32","373.03M","-0.02%"
"27/03/2026","4,898.18","4,882.08","4,927.01","4,857.70","299.05M","0.21%"
"26/03/2026","4,887.76","4,920.97","4,934.54","4,887.76","265.42M","-0.34%"
