"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2026","66,020.04","65,176.23","67,065.94","64,998.11","190.6M","2.81%"
"11/06/2026","64,217.27","63,329.17","64,395.50","62,335.75","171.1M","0.06%"
"10/06/2026","64,179.27","64,952.38","65,098.86","63,733.04","171.3M","-1.89%"
"09/06/2026","65,416.63","64,625.26","65,485.16","63,918.96","168.1M","2.17%"
"08/06/2026","64,024.60","65,947.56","66,115.18","63,406.66","179.5M","-3.85%"
"05/06/2026","66,588.12","67,115.00","67,115.00","65,862.21","148.1M","-1.31%"
"04/06/2026","67,470.69","67,860.84","68,051.94","66,920.80","152.7M","-1.36%"
"03/06/2026","68,402.13","67,238.53","68,786.49","67,238.53","170.7M","2.50%"
"02/06/2026","66,734.24","66,629.60","66,748.06","65,551.13","187.7M","-0.30%"
"01/06/2026","66,934.33","66,363.43","67,231.28","66,244.84","189.5M","0.91%"
"29/05/2026","66,329.50","65,133.97","66,505.02","65,133.97","295.1M","2.53%"
"28/05/2026","64,693.12","64,770.76","65,165.75","63,875.04","176.6M","-0.47%"
"27/05/2026","64,999.41","65,777.87","66,428.81","64,999.41","163.5M","0.01%"
"26/05/2026","64,996.09","65,247.24","65,317.69","64,605.69","157.2M","-0.25%"
"25/05/2026","65,158.19","63,658.95","65,408.87","63,562.51","161.1M","2.87%"
"22/05/2026","63,339.07","61,913.36","63,432.41","61,842.56","158.8M","2.68%"
"21/05/2026","61,684.14","60,374.84","62,043.53","60,282.35","166.6M","3.14%"
"20/05/2026","59,804.41","60,567.27","60,567.27","59,292.25","182.5M","-1.23%"
"19/05/2026","60,550.59","61,202.84","61,456.31","60,256.33","175.8M","-0.44%"
"18/05/2026","60,815.95","61,299.87","61,478.55","60,376.98","168.1M","-0.97%"
"15/05/2026","61,409.29","62,878.71","63,235.77","60,937.30","213.9M","-1.99%"
"14/05/2026","62,654.05","63,263.46","63,799.32","62,654.05","207.7M","-0.98%"
"13/05/2026","63,272.11","62,398.02","63,347.91","62,318.87","181M","0.84%"
"12/05/2026","62,742.57","62,618.72","63,218.51","62,158.43","189.2M","0.52%"
"11/05/2026","62,417.88","63,203.44","63,385.04","62,380.62","202.3M","-0.47%"
"08/05/2026","62,713.65","62,654.01","62,724.36","62,137.95","213.5M","-0.19%"
"07/05/2026","62,833.84","60,241.31","63,091.14","60,213.02","230.8M","5.58%"
"01/05/2026","59,513.12","59,379.12","59,706.70","59,263.50","150.7M","0.38%"
"30/04/2026","59,284.92","59,484.71","59,560.57","58,928.20","201.6M","-1.06%"
"28/04/2026","59,917.46","60,531.78","60,634.66","59,701.84","174.5M","-1.02%"
"27/04/2026","60,537.36","59,880.71","60,903.95","59,608.63","148.9M","1.38%"
"24/04/2026","59,716.18","59,407.44","59,763.68","59,225.37","141.4M","0.97%"
"23/04/2026","59,140.23","59,758.64","60,013.98","58,621.48","165.3M","-0.75%"
"22/04/2026","59,585.86","59,104.11","59,708.21","59,005.48","145.7M","0.40%"
"21/04/2026","59,349.17","59,031.51","59,611.91","59,004.76","129.5M","0.89%"
"20/04/2026","58,824.89","58,821.16","59,169.13","58,687.96","121.5M","0.60%"
"17/04/2026","58,475.90","59,255.09","59,381.25","58,475.90","140M","-1.75%"
"16/04/2026","59,518.34","58,479.83","59,688.10","58,428.19","150.3M","2.38%"
"15/04/2026","58,134.24","58,265.18","58,585.95","58,028.75","161M","0.44%"
"14/04/2026","57,877.39","57,085.65","57,979.82","57,010.18","143.7M","2.43%"
"13/04/2026","56,502.77","56,421.46","56,765.72","56,232.78","135.3M","-0.74%"
"10/04/2026","56,924.11","56,265.77","57,012.77","56,251.18","165M","1.84%"
"09/04/2026","55,895.32","56,199.86","56,406.49","55,763.05","154.7M","-0.73%"
"08/04/2026","56,308.42","54,386.65","56,424.63","54,380.02","186.7M","5.39%"
"07/04/2026","53,429.56","53,571.28","53,916.35","53,156.94","118.8M","0.03%"
"06/04/2026","53,413.68","53,205.93","54,039.34","53,205.93","102.5M","0.55%"
