"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2026","5,028.80","4,941.24","5,102.07","4,891.83","6.00B","2.36%"
"01/04/2026","4,912.69","4,950.06","5,039.11","4,853.78","6.43B","0.56%"
"01/03/2026","4,885.45","4,912.72","5,017.00","4,697.52","7.48B","-2.19%"
"01/02/2026","4,995.07","4,913.26","5,041.33","4,861.82","5.67B","1.83%"
"01/01/2026","4,905.13","4,652.34","4,933.88","4,648.38","4.86B","5.57%"
"01/12/2025","4,646.21","4,531.55","4,665.12","4,492.46","4.26B","2.70%"
"01/11/2025","4,523.96","4,437.38","4,575.91","4,372.64","6.64B","2.15%"
"01/10/2025","4,428.62","4,307.76","4,478.15","4,307.76","6.02B","2.99%"
"01/09/2025","4,300.16","4,270.86","4,375.33","4,252.27","5.89B","0.71%"
"01/08/2025","4,269.70","4,169.28","4,282.80","4,144.89","5.83B","2.30%"
"01/07/2025","4,173.77","3,972.18","4,274.32","3,968.57","6.39B","5.28%"
"01/06/2025","3,964.29","3,904.42","3,971.70","3,845.78","5.53B","1.79%"
"01/05/2025","3,894.61","3,842.38","3,956.26","3,831.04","5.68B","1.62%"
"01/04/2025","3,832.51","3,950.77","3,980.28","3,372.38","8.12B","-3.52%"
"01/03/2025","3,972.43","3,895.37","4,005.18","3,805.70","6.27B","1.97%"
"01/02/2025","3,895.70","3,802.42","3,951.64","3,797.83","6.22B","1.03%"
"01/01/2025","3,855.82","3,790.36","3,886.98","3,765.41","4.58B","1.80%"
"01/12/2024","3,787.60","3,760.39","3,842.71","3,715.52","4.57B","1.29%"
"01/11/2024","3,739.29","3,527.13","3,766.93","3,524.33","7.18B","5.07%"
"01/10/2024","3,558.88","3,593.42","3,644.18","3,553.85","6.36B","-0.74%"
"01/09/2024","3,585.29","3,442.71","3,652.62","3,412.47","7.20B","4.13%"
"01/08/2024","3,442.93","3,453.24","3,454.53","3,198.44","7.29B","-0.38%"
"01/07/2024","3,455.94","3,334.71","3,509.20","3,325.17","6.62B","3.69%"
"01/06/2024","3,332.80","3,347.22","3,355.63","3,288.94","5.62B","-0.11%"
"01/05/2024","3,336.59","3,309.78","3,336.59","3,241.13","8.59B","1.33%"
"01/04/2024","3,292.69","3,231.48","3,308.12","3,136.44","19.47B","2.13%"
